SGB	used_nGD_score_percentile
SGB17247	0.03
SGB17256	0.03
SGB17278	0.03
SGB17364	0.03
SGB1784_group	0.03
SGB1797	0.03
SGB1832	0.03
SGB1853	0.03
SGB1857	0.03
SGB1858	0.03
SGB1883_group	0.03
SGB1891	0.03
SGB1903	0.03
SGB1928	0.03
SGB1941	0.03
SGB19436	0.03
SGB1945	0.03
SGB1948	0.03
SGB1957	0.03
SGB1962	0.03
SGB1963	0.03
SGB19692	0.03
SGB19694	0.03
SGB2021	0.03
SGB2071	0.03
SGB2212	0.03
SGB2214	0.03
SGB2227	0.03
SGB2230	0.03
SGB2238	0.03
SGB2239	0.03
SGB2240	0.03
SGB2241	0.03
SGB2276	0.03
SGB2279	0.03
SGB2286	0.03
SGB2296	0.03
SGB2311	0.03
SGB2313	0.03
SGB23226	0.03
SGB2325	0.03
SGB2326	0.03
SGB2328	0.03
SGB24891	0.03
SGB25497	0.03
SGB29095	0.03
SGB3539	0.03
SGB3546_group	0.03
SGB3574	0.03
SGB3668	0.03
SGB3677	0.03
SGB376	0.03
SGB3922	0.03
SGB3926	0.03
SGB3934	0.03
SGB3940	0.03
SGB3952	0.03
SGB3957	0.03
SGB3964	0.03
SGB3983	0.03
SGB3988	0.03
SGB3989	0.03
SGB3996	0.03
SGB4029	0.03
SGB4037	0.03
SGB4046	0.03
SGB4110	0.03
SGB4121_group	0.03
SGB4122	0.03
SGB4155	0.03
SGB4181	0.03
SGB4247	0.03
SGB4260	0.03
SGB4272	0.03
SGB4274	0.03
SGB4280	0.03
SGB4289	0.03
SGB4328	0.03
SGB4329	0.03
SGB4333	0.03
SGB4350	0.03
SGB4364	0.03
SGB4365	0.03
SGB4373	0.03
SGB4394	0.03
SGB4395	0.03
SGB4418	0.03
SGB4447_group	0.03
SGB4537	0.03
SGB4547	0.03
SGB4552	0.03
SGB4553	0.03
SGB4571	0.03
SGB4583	0.03
SGB4584	0.03
SGB4588_group	0.03
SGB4617	0.03
SGB4637	0.03
SGB4638	0.03
SGB4643	0.03
SGB4648	0.03
SGB4654	0.03
SGB4655	0.03
SGB4658	0.03
SGB4659	0.03
SGB4669	0.03
SGB4670	0.03
SGB4699	0.03
SGB4706	0.03
SGB4709	0.03
SGB4711	0.03
SGB4712	0.03
SGB4714	0.03
SGB4721	0.03
SGB4741	0.03
SGB4742	0.03
SGB4750	0.03
SGB4752	0.03
SGB4753	0.03
SGB4758	0.03
SGB4762	0.03
SGB4768	0.03
SGB4771	0.03
SGB4779	0.03
SGB4780	0.03
SGB4781	0.03
SGB4782	0.03
SGB4788	0.03
SGB4804	0.03
SGB4809	0.03
SGB4810	0.03
SGB4815	0.03
SGB4816	0.03
SGB4824	0.03
SGB4828	0.03
SGB4829	0.03
SGB4831	0.03
SGB4832	0.03
SGB4834	0.03
SGB4867	0.03
SGB4882	0.03
SGB4891	0.03
SGB4893	0.03
SGB4894	0.03
SGB4900	0.03
SGB4903	0.03
SGB4909	0.03
SGB4921	0.03
SGB4922	0.03
SGB4929	0.03
SGB4930	0.03
SGB4939	0.03
SGB4950	0.03
SGB4953	0.03
SGB4957	0.03
SGB4958	0.03
SGB4959	0.03
SGB4960	0.03
SGB4966	0.03
SGB4987	0.03
SGB4988	0.03
SGB5042	0.03
SGB5043	0.03
SGB5051	0.03
SGB5060	0.03
SGB5062	0.03
SGB5063	0.03
SGB5066	0.03
SGB5071	0.03
SGB5072	0.03
SGB5076	0.03
SGB5099	0.03
SGB5104	0.03
SGB5115	0.03
SGB5116	0.03
SGB5118	0.03
SGB5234	0.03
SGB5239	0.03
SGB5736	0.03
SGB5742	0.03
SGB5752	0.03
SGB5785	0.03
SGB5803	0.03
SGB5809	0.03
SGB5843	0.03
SGB5853	0.03
SGB5858	0.03
SGB5904	0.03
SGB5906	0.03
SGB5910_group	0.03
SGB5967	0.03
SGB6139	0.03
SGB6140	0.03
SGB6148	0.03
SGB6173	0.03
SGB6174	0.03
SGB6178	0.03
SGB6179	0.03
SGB6180	0.03
SGB6190	0.03
SGB6191	0.03
SGB6289	0.03
SGB6305	0.03
SGB6308	0.03
SGB6310	0.03
SGB6317	0.03
SGB6328	0.03
SGB6329	0.03
SGB6340	0.03
SGB6347	0.03
SGB6358	0.03
SGB6362	0.03
SGB6367	0.03
SGB6371	0.03
SGB6376	0.03
SGB6385	0.03
SGB6420	0.03
SGB6421	0.03
SGB6422	0.03
SGB6428	0.03
SGB6438	0.03
SGB6465	0.03
SGB6473	0.03
SGB6478	0.03
SGB6502	0.03
SGB6503	0.03
SGB6506	0.03
SGB6518	0.03
SGB6522	0.03
SGB6533	0.03
SGB6571	0.03
SGB6579	0.03
SGB6584	0.03
SGB6601	0.03
SGB6602	0.03
SGB6607	0.03
SGB6609	0.03
SGB6744	0.03
SGB6747	0.03
SGB6750	0.03
SGB6771	0.03
SGB6790	0.03
SGB6806	0.03
SGB6816	0.03
SGB6817	0.03
SGB6823	0.03
SGB6836	0.03
SGB6846	0.03
SGB6847	0.03
SGB6936	0.03
SGB6939	0.03
SGB6952	0.03
SGB6956	0.03
SGB6962	0.03
SGB6970	0.03
SGB6973	0.03
SGB698	0.03
SGB7061	0.03
SGB7088	0.03
SGB7115	0.03
SGB7144	0.03
SGB7852	0.03
SGB7858	0.03
SGB7865	0.03
SGB7980_group	0.03
SGB8002_group	0.03
SGB8005	0.03
SGB8022_group	0.03
SGB8027_group	0.03
SGB8076	0.03
SGB8138_group	0.03
SGB8590	0.03
SGB8601	0.03
SGB8617	0.03
SGB8619	0.03
SGB8640	0.03
SGB8644	0.03
SGB8651	0.03
SGB8653	0.03
SGB8655	0.03
SGB8774	0.03
SGB9202	0.03
SGB9203	0.03
SGB9205	0.03
SGB9209	0.03
SGB9210	0.03
SGB9224	0.03
SGB9228	0.03
SGB9243	0.03
SGB9260	0.03
SGB9272_group	0.03
SGB9273	0.03
SGB9274	0.03
SGB9278	0.03
SGB9299	0.03
SGB9311	0.03
SGB9323	0.03
SGB9324	0.03
SGB9333	0.03
SGB9340	0.03
SGB9346	0.03
SGB9347	0.03
SGB9391	0.03
SGB9712_group	0.03
SGB4871	0.030075188
SGB15090	0.030142782
SGB6754	0.030379747
SGB1699	0.030671602
SGB15342	0.031550689
SGB4936	0.031865157
SGB4910	0.0323603
SGB15089	0.033391574
SGB4868	0.033633034
SGB14909	0.033834586
SGB4993	0.034712196
SGB14861	0.035107169
SGB15236	0.035652921
SGB4581	0.036159079
SGB2295	0.037366803
SGB1934	0.03744763
SGB4425	0.037647059
SGB15091	0.038607595
SGB1861	0.039012857
SGB2301	0.039099155
SGB4644	0.039389519
SGB15254	0.039740621
SGB2318	0.040191388
SGB714_group	0.041403509
SGB17244	0.041505792
SGB1965	0.041692466
SGB1830	0.04191947
SGB5792	0.042183623
SGB5767_group	0.042650104
SGB15322	0.042857143
SGB2303	0.045164122
SGB1844_group	0.048100383
SGB4964	0.048658318
SGB4608	0.04916129
SGB4577	0.04916336
SGB10068	0.05
SGB14306	0.05
SGB14797_group	0.05
SGB14874	0.05
SGB14993_group	0.05
SGB15054	0.05
SGB15078	0.05
SGB15132	0.05
SGB15154	0.05
SGB15159	0.05
SGB15224	0.05
SGB15249	0.05
SGB15291	0.05
SGB1790	0.05
SGB1812	0.05
SGB1815	0.05
SGB1829	0.05
SGB1860	0.05
SGB1862	0.05
SGB1877	0.05
SGB1949	0.05
SGB2290	0.05
SGB4166	0.05
SGB4184	0.05
SGB4269	0.05
SGB4327	0.05
SGB4421	0.05
SGB4575	0.05
SGB4705	0.05
SGB4749	0.05
SGB4767	0.05
SGB4820	0.05
SGB5045	0.05
SGB6276	0.05
SGB6783	0.05
SGB6796	0.05
SGB9262	0.05
SGB9283	0.05
